City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Moron,AR,77.02,scattered clouds,-34.6534,-58.6198,Hotel Morón
6,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
13,Jadu,LY,71.4,overcast clouds,31.953,12.0261,امياس للصرافة
16,Atuona,PF,76.03,broken clouds,-9.8,-139.0333,Villa Enata
19,Laela,TZ,79.9,overcast clouds,-8.5667,32.05,Samazi laela
25,Samana,DO,80.82,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
27,Hilo,US,76.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
29,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Rikitea,PF,73.71,broken clouds,-23.1203,-134.9692,People ThankYou
31,Neuquen,AR,73.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
36,Pandan,PH,80.51,light rain,14.0453,124.1694,Bonifacio Lodge
39,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
40,Sosua,DO,87.71,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
43,Sur,OM,82.56,clear sky,22.5667,59.5289,Sur Plaza Hotel
45,Lorengau,PG,81.0,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
49,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
51,Saint-Paul,RE,71.71,scattered clouds,-21.0096,55.2707,Boucan Canot
52,Soyo,AO,76.93,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
55,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
57,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
60,Macau,MO,82.2,scattered clouds,22.2006,113.5461,Grand Emperor Hotel Macau
64,Talca,CL,70.45,overcast clouds,-35.4333,-71.6667,Casa de Huespedes Marbargla
66,Naze,JP,70.72,clear sky,28.3667,129.4833,Shishime Hotel
73,Makakilo City,US,73.98,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
76,Javanrud,IR,71.42,clear sky,34.7961,46.5172,Bonnie power
77,Sao Filipe,CV,79.32,few clouds,14.8961,-24.4956,Hotel Xaguate
78,Ha Tinh,VN,76.3,heavy intensity rain,18.3333,105.9,Phú Quý
82,Sola,VU,79.34,few clouds,-13.8833,167.55,Leumerus Bungalows
87,Lata,PT,79.92,few clouds,40.1629,-8.3327,Casa Maquia
89,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Namibe,AO,72.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Balangir,IN,77.99,scattered clouds,20.7167,83.4833,Sarojinee Residency
95,Illapel,CL,75.61,clear sky,-31.6308,-71.1653,Hotel Londres
96,Andrews,US,79.41,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
97,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
99,The Valley,AI,86.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
102,Bengkulu,ID,75.16,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
105,Guerrero Negro,MX,72.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
108,Petatlan,MX,85.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
110,Puerto Leguizamo,CO,77.13,overcast clouds,-0.1934,-74.7819,la casona de juancho
112,Peniche,PT,79.09,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
115,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
117,Pafos,CY,80.38,clear sky,34.7667,32.4167,Elysium Hotel
119,Gorontalo,ID,73.87,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
120,Muros,ES,71.1,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
122,Qadirpur Ran,PK,87.69,clear sky,30.2924,71.6712,Govt Guest House
125,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
126,Chiredzi,ZW,81.07,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
130,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
132,Suleja,NG,85.19,light rain,9.1758,7.1808,Capy Motel
134,Banda Aceh,ID,80.01,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
136,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
140,Itarema,BR,86.52,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
144,Sinnamary,GF,86.36,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
145,Aljezur,PT,74.62,broken clouds,37.3191,-8.8033,Amazigh Hostel
146,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
151,Saint George,US,77.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
152,Koulamoutou,GA,74.32,light rain,-1.1303,12.4736,Motel Bouenguidi
156,Kalmunai,LK,82.54,overcast clouds,7.4167,81.8167,VS Villa
160,Amahai,ID,77.74,broken clouds,-3.3333,128.9167,HOTEL ISABELA
161,Meulaboh,ID,77.58,overcast clouds,4.1363,96.1285,Kost Pria
166,Sai Buri,TH,76.26,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
168,Alcacer Do Sal,PT,82.24,broken clouds,38.3733,-8.5144,Hotel Ordem de Santiago
173,Mandiana,GN,84.96,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
176,Faanui,PF,77.14,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
178,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
180,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
183,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
187,Oistins,BB,83.71,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
189,Santiago Del Estero,AR,84.92,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
190,Eydhafushi,MV,82.69,overcast clouds,5.1033,73.0708,Soneva Fushi
192,Tateyama,JP,71.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
194,Ratnagiri,IN,78.49,light rain,16.9833,73.3,Hotel Landmark
196,Beatrice,US,74.17,clear sky,40.2681,-96.747,Victorian Inn Beatrice
198,San Luis,AR,77.29,broken clouds,-33.295,-66.3356,Huarpes Hotel
201,Pradera,CO,83.21,overcast clouds,3.4211,-76.2447,conjunto pradera
205,Ruwi,OM,85.69,clear sky,23.5996,58.5507,Al Falaj Hotel
209,Carbonia,IT,71.01,broken clouds,39.1672,8.5222,Lu 'Hotel
210,Sirsa,IN,82.22,clear sky,29.5333,75.0167,OYO 48542 Hotel Capital
213,Lardos,GR,84.02,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
214,Semnan,IR,73.24,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
219,Villablino,ES,72.77,broken clouds,42.9393,-6.3194,Hotel La Brañina
221,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
222,Tutoia,BR,85.21,few clouds,-2.7619,-42.2744,Pousada Guará's
226,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
227,Loa Janan,ID,74.14,broken clouds,-0.583,117.095,Kost bu jono
228,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
231,Katsuura,JP,70.21,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
233,Lagoa,PT,71.29,few clouds,39.05,-27.9833,Casa Das Faias
234,Honiara,SB,76.95,scattered clouds,-9.4333,159.95,Heritage Park Hotel
236,Kawalu,ID,73.22,overcast clouds,-7.3817,108.2082,West Jontor
239,Puerto Ayacucho,VE,86.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
240,Tongling,CN,82.04,few clouds,30.95,117.7833,Huoxian Hotel
243,Ampanihy,MG,74.52,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
246,Hobyo,SO,76.89,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
247,Buala,SB,79.23,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
249,Acari,PE,77.41,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
253,Nizhniy Baskunchak,RU,71.22,broken clouds,48.2198,46.8311,Arman hotel
257,Kloulklubed,PW,73.9,light rain,7.0419,134.2556,Storyboard Beach Resort
260,Corinto,GR,79.9,scattered clouds,37.9407,22.9573,Ephira Hotel
266,Hambantota,LK,79.75,overcast clouds,6.1241,81.1185,Bungalow 63
268,Ewo,CG,74.7,moderate rain,-0.8725,14.8206,Residence Elonda Ewo
269,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
273,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
275,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
277,Acarau,BR,87.21,scattered clouds,-2.8856,-40.12,castelo pizzaria
278,Bislig,PH,74.71,heavy intensity rain,8.2167,126.2833,Paper Country Inn
279,Amlagora,IN,84.31,heavy intensity rain,22.8333,87.3333,"Mohul Guest House, Garhbeta"
282,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
