City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Terrace,54.5163,-128.6035,53.51,mist,100,100,4.61,CA
1,Moron,-34.6534,-58.6198,77.02,scattered clouds,48,41,2.33,AR
2,Half Moon Bay,37.4636,-122.4286,63.54,mist,89,100,6.91,US
3,Taoudenni,22.6783,-3.9836,100.02,clear sky,12,0,12.41,ML
4,Kenai,60.5544,-151.2583,39.09,clear sky,98,0,5.75,US
5,Khatanga,71.9667,102.5,29.21,light snow,96,100,14.63,RU
6,Butaritari,3.0707,172.7902,81.52,light rain,76,100,15.46,KI
7,Bluff,-46.6,168.3333,40.15,scattered clouds,86,35,6.42,NZ
8,Hokitika,-42.7167,170.9667,43.57,overcast clouds,87,99,8.46,NZ
9,Ekhabi,53.5102,142.9671,36.68,few clouds,63,14,9.91,RU
10,Camacha,33.0833,-16.3333,71.02,scattered clouds,60,40,14.97,PT
11,Erdenet,49.0333,104.0833,24.19,overcast clouds,73,100,11.45,MN
12,Hasaki,35.7333,140.8333,66.6,clear sky,76,1,12.75,JP
13,Jadu,31.953,12.0261,71.4,overcast clouds,84,85,18.14,LY
14,Narsaq,60.9167,-46.05,39.42,light rain,98,100,5.37,GL
15,Athabasca,54.7169,-113.2854,50.41,overcast clouds,62,88,8.28,CA
16,Atuona,-9.8,-139.0333,76.03,broken clouds,75,52,15.73,PF
17,Lanivtsi,49.8633,26.0908,56.3,overcast clouds,96,100,1.86,UA
18,Pacific Grove,36.6177,-121.9166,59.67,mist,95,100,7.0,US
19,Laela,-8.5667,32.05,79.9,overcast clouds,26,93,7.52,TZ
20,Tasiilaq,65.6145,-37.6368,39.36,light rain,99,100,4.99,GL
21,Albany,42.6001,-73.9662,59.58,overcast clouds,67,100,1.01,US
22,Punta Arenas,-53.15,-70.9167,48.31,scattered clouds,46,40,27.63,CL
23,Nikolskoye,59.7035,30.7861,44.49,broken clouds,88,77,3.0,RU
24,Dejen,10.1667,38.1333,53.53,light rain,83,16,3.09,ET
25,Samana,19.2056,-69.3369,80.82,broken clouds,89,75,0.0,DO
26,Thompson,55.7435,-97.8558,42.96,few clouds,61,20,5.75,CA
27,Hilo,19.7297,-155.09,76.28,clear sky,59,0,8.05,US
28,Jamestown,42.097,-79.2353,60.39,clear sky,51,0,14.97,US
29,Puerto Ayora,-0.7393,-90.3518,73.36,overcast clouds,94,97,5.01,EC
30,Rikitea,-23.1203,-134.9692,73.71,broken clouds,72,81,10.11,PF
31,Neuquen,-38.9516,-68.0591,73.29,clear sky,27,0,12.66,AR
32,Upernavik,72.7868,-56.1549,22.86,scattered clouds,80,42,6.17,GL
33,East London,-33.0153,27.9116,63.54,clear sky,88,0,5.75,ZA
34,Yellowknife,62.456,-114.3525,48.72,broken clouds,100,75,6.91,CA
35,Mataura,-46.1927,168.8643,32.2,few clouds,99,12,1.97,NZ
36,Pandan,14.0453,124.1694,80.51,light rain,85,65,9.53,PH
37,Aswan,24.0934,32.907,103.3,clear sky,14,0,6.91,EG
38,Chulman,56.8479,124.9104,33.66,overcast clouds,85,100,10.74,RU
39,Avarua,-21.2078,-159.775,71.65,broken clouds,56,75,8.05,CK
40,Sosua,19.7667,-70.5167,87.71,broken clouds,70,75,5.75,DO
41,Provideniya,64.3833,-173.3,37.62,broken clouds,85,82,16.31,RU
42,Kodiak,57.79,-152.4072,35.11,overcast clouds,93,100,5.75,US
43,Sur,22.5667,59.5289,82.56,clear sky,73,0,11.74,OM
44,Hermanus,-34.4187,19.2345,63.81,overcast clouds,72,100,9.1,ZA
45,Lorengau,-2.0226,147.2712,81.0,scattered clouds,80,44,10.4,PG
46,Leningradskiy,69.3833,178.4167,26.6,overcast clouds,82,100,8.88,RU
47,Carnarvon,-24.8667,113.6333,67.06,clear sky,78,0,23.0,AU
48,Inhambane,-23.865,35.3833,75.18,few clouds,88,20,9.22,MZ
49,Vaini,-21.2,-175.2,73.56,scattered clouds,78,40,9.22,TO
50,Banff,51.1762,-115.5698,57.78,clear sky,81,3,6.91,CA
51,Saint-Paul,-21.0096,55.2707,71.71,scattered clouds,78,44,1.32,RE
52,Soyo,-6.1349,12.3689,76.93,broken clouds,84,79,9.64,AO
53,Barrow,71.2906,-156.7887,26.62,overcast clouds,86,100,11.5,US
54,Hvide Sande,56.0045,8.1294,54.09,broken clouds,84,69,20.36,DK
55,Arraial Do Cabo,-22.9661,-42.0278,75.16,scattered clouds,64,40,17.27,BR
56,Souillac,-20.5167,57.5167,70.18,scattered clouds,78,40,8.05,MU
57,Neiafu,-18.65,-173.9833,75.88,broken clouds,83,75,9.22,TO
58,Geraldton,-28.7667,114.6,57.61,overcast clouds,88,99,3.44,AU
59,Kjollefjord,70.9457,27.3465,42.85,overcast clouds,100,100,1.14,NO
60,Macau,22.2006,113.5461,82.2,scattered clouds,89,40,12.66,MO
61,Ilhabela,-23.7781,-45.3581,67.5,broken clouds,92,82,2.06,BR
62,Qaanaaq,77.484,-69.3632,9.45,clear sky,75,0,5.84,GL
63,Nemuro,43.3236,145.575,63.01,few clouds,89,12,18.66,JP
64,Talca,-35.4333,-71.6667,70.45,overcast clouds,56,95,2.15,CL
65,Port Alfred,-33.5906,26.891,60.19,broken clouds,87,82,6.38,ZA
66,Naze,28.3667,129.4833,70.72,clear sky,70,0,2.77,JP
67,Severo-Kurilsk,50.6789,156.125,44.6,overcast clouds,87,100,13.98,RU
68,Chuy,-33.6971,-53.4616,64.65,few clouds,63,18,9.55,UY
69,Alice Springs,-23.7,133.8833,65.21,overcast clouds,33,100,8.05,AU
70,Busselton,-33.65,115.3333,54.82,scattered clouds,86,45,14.67,AU
71,Nanortalik,60.1432,-45.2371,40.21,overcast clouds,83,99,4.43,GL
72,Aklavik,68.2191,-135.0107,31.87,light snow,98,100,7.94,CA
73,Makakilo City,21.3469,-158.0858,73.98,clear sky,80,0,3.44,US
74,Jalu,29.0331,21.5482,95.54,clear sky,14,0,10.49,LY
75,Ushuaia,-54.8,-68.3,46.06,broken clouds,57,75,26.46,AR
76,Javanrud,34.7961,46.5172,71.42,clear sky,15,0,7.14,IR
77,Sao Filipe,14.8961,-24.4956,79.32,few clouds,78,17,9.6,CV
78,Ha Tinh,18.3333,105.9,76.3,heavy intensity rain,95,100,1.99,VN
79,Chapleau,47.8405,-83.4034,42.89,overcast clouds,93,100,14.97,CA
80,Mar Del Plata,-38.0023,-57.5575,69.82,clear sky,43,0,4.61,AR
81,Beyneu,45.3167,55.2,63.27,broken clouds,39,77,20.87,KZ
82,Sola,-13.8833,167.55,79.34,few clouds,78,19,10.2,VU
83,Tigil,57.8,158.6667,38.48,overcast clouds,93,100,6.24,RU
84,Yugorsk,61.3133,63.3319,33.55,overcast clouds,70,99,7.92,RU
85,Dikson,73.5069,80.5464,34.29,overcast clouds,99,100,13.65,RU
86,Port-Cartier,50.0334,-66.8654,53.74,clear sky,39,6,9.33,CA
87,Lata,40.1629,-8.3327,79.92,few clouds,41,24,5.37,PT
88,Talcahuano,-36.7167,-73.1167,62.28,clear sky,59,0,6.91,CL
89,Hithadhoo,-0.6,73.0833,81.73,overcast clouds,72,96,13.0,MV
90,Xichang,27.8964,102.2634,63.91,clear sky,89,9,2.08,CN
91,Bredasdorp,-34.5322,20.0403,56.64,overcast clouds,71,100,5.59,ZA
92,Namibe,-15.1961,12.1522,72.23,broken clouds,83,75,11.5,AO
93,Te Anau,-45.4167,167.7167,32.05,broken clouds,98,66,2.19,NZ
94,Balangir,20.7167,83.4833,77.99,scattered clouds,82,27,2.39,IN
95,Illapel,-31.6308,-71.1653,75.61,clear sky,40,5,7.31,CL
96,Andrews,32.3187,-102.5457,79.41,clear sky,36,0,10.36,US
97,Nouadhibou,20.931,-17.0347,76.98,clear sky,61,0,18.41,MR
98,Moose Factory,51.2585,-80.6094,46.4,broken clouds,61,75,8.05,CA
99,The Valley,18.217,-63.0578,86.09,few clouds,84,20,11.5,AI
100,Hobart,-42.8794,147.3294,45.05,clear sky,88,8,9.22,AU
101,Saskylakh,71.9167,114.0833,31.8,overcast clouds,98,100,7.58,RU
102,Bengkulu,-3.8004,102.2655,75.16,moderate rain,95,99,5.01,ID
103,Catia La Mar,10.6038,-67.0303,91.49,scattered clouds,70,40,2.3,VE
104,Ayagoz,47.9714,80.4392,26.71,clear sky,72,3,13.47,KZ
105,Guerrero Negro,27.9769,-114.0611,72.57,clear sky,67,4,13.89,MX
106,Sitka,57.0531,-135.33,55.29,light rain,76,100,5.75,US
107,Kaitangata,-46.2817,169.8464,35.6,few clouds,93,12,3.38,NZ
108,Petatlan,17.5167,-101.2667,85.8,overcast clouds,64,99,3.53,MX
109,Pevek,69.7008,170.3133,33.4,overcast clouds,81,100,5.57,RU
110,Puerto Leguizamo,-0.1934,-74.7819,77.13,overcast clouds,85,100,3.24,CO
111,Sioux Lookout,50.1001,-91.917,48.27,overcast clouds,76,100,8.05,CA
112,Peniche,39.3558,-9.3811,79.09,overcast clouds,56,96,12.06,PT
113,Klaksvik,62.2266,-6.589,50.92,broken clouds,87,68,17.25,FO
114,Port Elizabeth,-33.918,25.5701,62.89,clear sky,86,0,6.91,ZA
115,Ribeira Grande,38.5167,-28.7,75.6,broken clouds,69,75,19.57,PT
116,Broome,42.2506,-75.833,64.85,clear sky,61,0,9.22,US
117,Pafos,34.7667,32.4167,80.38,clear sky,83,0,5.75,CY
118,Luebo,-5.35,21.4167,75.24,light rain,78,75,7.18,CD
119,Gorontalo,0.5412,123.0595,73.87,overcast clouds,96,88,3.06,ID
120,Muros,42.7762,-9.0603,71.1,broken clouds,84,76,2.1,ES
