City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,84.18,69,20,11.5,US,2022-09-28 03:21:30
1,Rio Gallegos,-51.6226,-69.2181,46.45,53,0,8.05,AR,2022-09-28 03:21:31
2,Bredasdorp,-34.5322,20.0403,51.53,91,95,4.07,ZA,2022-09-28 03:21:31
3,Guerrero Negro,27.9769,-114.0611,75.6,78,3,10.22,MX,2022-09-28 03:21:32
4,Sosenskiy,54.059,35.9623,45.28,97,100,7.7,RU,2022-09-28 03:21:32
5,Hermosillo,29.0667,-110.9667,80.51,54,100,12.66,MX,2022-09-28 03:19:25
6,Talnakh,69.4865,88.3972,22.32,69,65,4.27,RU,2022-09-28 03:21:32
7,Nikolskoye,59.7035,30.7861,39.09,97,16,4.07,RU,2022-09-28 03:21:32
8,Hermanus,-34.4187,19.2345,54.9,83,97,6.51,ZA,2022-09-28 03:21:33
9,Castro,-24.7911,-50.0119,58.71,98,100,6.51,BR,2022-09-28 03:17:24
10,Mataura,-46.1927,168.8643,66.13,50,77,3.47,NZ,2022-09-28 03:21:33
11,Butaritari,3.0707,172.7902,82.11,74,58,15.52,KI,2022-09-28 03:21:34
12,Jamestown,42.097,-79.2353,54.99,78,100,10.36,US,2022-09-28 03:21:34
13,Dikson,73.5069,80.5464,32.04,74,79,5.84,RU,2022-09-28 03:21:34
14,Yellowknife,62.456,-114.3525,55.92,67,75,15.01,CA,2022-09-28 03:18:27
15,Srednekolymsk,67.45,153.6833,36.32,49,86,12.59,RU,2022-09-28 03:21:34
16,Hobart,-42.8794,147.3294,59.27,80,75,17.27,AU,2022-09-28 03:17:04
17,Norman Wells,65.282,-126.8329,44.64,65,75,5.75,CA,2022-09-28 03:16:39
18,Ilo,-17.6394,-71.3375,59.5,83,9,8.75,PE,2022-09-28 03:21:35
19,Hithadhoo,-0.6,73.0833,76.62,90,100,17.87,MV,2022-09-28 03:21:15
20,Leningradskiy,69.3833,178.4167,28.9,81,100,6.24,RU,2022-09-28 03:21:35
21,Broome,42.2506,-75.833,53.15,90,100,10.36,US,2022-09-28 03:21:35
22,Henties Bay,-22.116,14.2845,53.42,89,17,3.36,NA,2022-09-28 03:21:36
23,Punta Arenas,-53.15,-70.9167,46.51,66,75,27.63,CL,2022-09-28 03:17:29
24,Arlit,18.7369,7.3853,92.3,15,29,7.34,NE,2022-09-28 03:21:36
25,Ushuaia,-54.8,-68.3,38.08,96,100,6.67,AR,2022-09-28 03:21:36
26,Saskylakh,71.9167,114.0833,29.16,90,61,7.31,RU,2022-09-28 03:21:36
27,Busselton,-33.65,115.3333,66.65,61,95,5.35,AU,2022-09-28 03:21:37
